% Model:              large_zylinder_1000V.mph
% Version:            COMSOL 5.4.0.295
% Date:               Jan 19 2021, 17:59
% Dimension:          2
% Nodes:              6398
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
0.005150191002377043      0.15983404995764047      214692.99770666982       2522779.7557131485
0.005                     0.15984359711335658      -1183949.7158587466      4004756.3269721936
0.005103287687048273      0.15972338923574397      2165603.8485682127       2455626.7580603864
0.005                     0.1597                   5315984.606846541        249952.3909844039
0.006095825997920383      0.15976741756759508      18372.074493978525       238469.54537969848
0.005937986915211327      0.15977932258044547      22425.531999891507       297200.7343022318
0.0060095042751941745     0.15963466062709694      69346.42364871624        254070.5086576743
0.006253819592739456      0.15975518629218707      15467.590330287247       196337.15158205596
0.006165953699522796      0.15962213364377775      52635.85388114604        208676.83932374255
0.004682057677469474      0.15970000000000004      9329.224555179166        -908609.2065573839
0.004752235852697822      0.15955630799704423      347437.0926307652        -898490.1369761146
0.004848971104036538      0.15970000000000004      60585.13711041678        -1528384.258864042
0.004908104505650777      0.1595613638639984       945373.1685093375        -1025657.5118833928
0.005237239662499361      0.1597131118835852       821356.4593509723        1294896.9105132488
0.005307656514811755      0.15982373570762504      95454.1806354421         1256790.047061165
0.005381435906764875      0.15968863253081123      412774.82694318244       810654.5137815042
0.0054651416213352        0.15981310811551414      55623.10771932745        761285.8704763312
0.0056226732920785834     0.15980216503986933      38052.94949663795        520388.2069772838
0.005535810225166242      0.1596711286273026       230531.66484268729       559125.3263273987
0.005780278750646308      0.15979090410294158      28417.890652621052       383578.47240209655
0.005694027857683509      0.15965816132066687      142546.00979005868       411333.94444776746
0.005852252402060846      0.15964646547527592      96154.21096461864        317578.98677440936
0.0064120021016552484     0.15974262491947683      13308.191663997639       164867.78274035483
0.006322880460106139      0.15960744500361052      41717.73364747558        174623.54581951656
0.004583260296138831      0.15954820031882752      173487.9558378278        -691829.7608673951
0.004497589057802335      0.15970000000000004      2243.4412793715796       -657653.4787073325
0.006575211970110639      0.15972933329426575      11596.195666469683       139958.66215143312
0.006483691119564414      0.1595885721925992       34323.43729489216        147760.04904881163
0.0043928032839842        0.1595342835549069       102953.79636640342       -549539.507130547
