% Model:              medium_zylinder_1000V.mph
% Version:            COMSOL 5.4.0.295
% Date:               Jan 19 2021, 18:06
% Dimension:          2
% Nodes:              5718
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
0                         0.03396797110184054      -1.2731058921152302E-5   -3.8646451519616107
0.047000000000000215      0.0016194675050769005    0.06498877645109687      -1.3694822447938
0.04800000000000021       0                        -5.180120595360549E-6    -1.3275728218702607
0.04900000000000021       0.0016194675050769007    0.06612046818885386      -1.2884417665602854
0.050000000000000204      0                        -5.167684591134147E-6    -1.2459571489929537
0.0016188964319115212     0.03496702907542408      0.07638152873793835      -3.954528513202829
0                         0.03596608704900763      -1.38413765569112E-5     -4.053287708587416
0.051000000000000205      0.001619467505076901     0.06707897574969475      -1.2061095674455107
0.05200000000000019       0                        -5.149193990675964E-6    -1.1631582133957954
0.05300000000000018       0.0016194675050769007    0.06786286767660636      -1.1227006329240192
0.05400000000000017       0                        -5.124232820138038E-6    -1.079391549547814
0.0016188964319115214     0.03696514502259117      0.0825073387270449       -4.15050232578938
0                         0.03796420299617472      -1.5025545219297479E-5   -4.257060010709021
0.05500000000000016       0.0016194675050769007    0.06847121999205498      -1.0384314018264413
0.05600000000000017       0                        -5.092513597186136E-6    -0.9948738341219595
0.0570000022256034        0.0016194664545824227    0.06890356569448021      -0.9535190471787026
0.05800000000000016       0                        -5.054311350819833E-6    -0.9098222665734288
0.0016188964319115214     0.038963260969758266     0.08896072840725111      -4.361990489902875
0                         0.03996231894334182      -1.6291508463458133E-5   -4.4767712442406635
0.05900003627394773       0.001619458205589411     0.06915971667621805      -0.8681797914049435
0.060000000000000143      0                        -5.015122115555511E-6    -0.8244539692509676
0.061000343526405924      0.0016192816114156284    0.06923333601376357      -0.7826202487642285
0.06200000000000013       0                        -4.971637494577408E-6    -0.7389854076312522
0.0016188964319115214     0.04096137691692536      0.09576949574641465      -4.5898351503522825
0                         0.04196043489050891      -1.7648066439335253E-5   -4.71329927415933
0.06300110859807707       0.0016184574575376423    0.06910493749162026      -0.6970483017039465
0.06400000000000011       0                        -4.89742257743971E-6     -0.6536317784806496
0.06500239610482794       0.0016163756239036943    0.06875028625018072      -0.6116757731703986
0.0660000000000001        0                        -4.747977210265801E-6    -0.5686063624404124
0.001618896431911521      0.04295949286409246      0.10296339345717698      -4.834949398383401
0                         0.043958550837676004     -1.9104994457563862E-5   -4.967595476330639
0.06700392461275655       0.001612926406403415     0.06816806098110396      -0.5267277433849756
0.06800000000000009       0                        -4.460550906896603E-6    -0.48411978446360165
0.0016188964319115216     0.044957608811259556     0.11057433952015572      -5.098322347333233
0                         0.045956666784843093     -2.067318287638879E-5    -5.240690089941514
0.06900695356750806       0.0016098795004097438    0.06743623193983868      -0.4423636382296725
0.07000000000000008       0                        -4.243576265605675E-6    -0.4003803130545458
0.07100624071646552       0.0016020921981987695    0.06634733493207733      -0.3590064492308797
0.07200000000000006       0                        -3.8004867995433678E-6   -0.3175915046057018
0.0016188964319115218     0.04695572475842665      0.11863665138465034      -5.3810247558406274
0                         0.04795478273201019      -2.236479647166334E-5    -5.533698149120146
0.07300945945753616       0.0015983575290408147    0.06526958208095265      -0.2765449353768841
0.07400000000000005       0                        -4.029061573161223E-6    -0.23595506296117807
0.07500025423631436       0.0015529752258184272    0.06236645821301706      -0.19582890439721948
0.07600000000000004       0                        -4.44547824128098E-6     -0.15566692472512775
0.001618896431911522      0.04895384070559374      0.12718730722486762      -5.684215261023098
0                         0.049952898679177286     -2.4193458912691312E-5   -5.847826060697234
