% Model:              
% Version:            COMSOL 5.4.0.295
% Date:               Jan 19 2021, 17:42
% Dimension:          2
% Nodes:              6865
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
9.142055589436251E-4      9.460190948041376E-4     0.006406559851260418     -12.273392551863946
0                         0.0013929418745349902    -4.988402330603492E-4    -12.284151057907714
0                         0                        -0.001866365711238771    -12.269541300389774
0.0013999999999995117     0                        -1.0098567797752385E-4   -12.262203953407878
0.0010455323917848258     0.002103285262165118     0.01661524547452024      -12.298780168129367
0                         0.0027858837490699804    -7.32620337835499E-5     -12.32827005402605
0.0027999999999995208     0                        -1.9956783731996572E-4   -12.239964576574721
0.0021254954029337877     0.0012338683373205796    0.019736737157712753     -12.26368312953915
0.003578616635985511      0.001125545939410346     0.030335576622058547     -12.230909393895352
0.0041999999999995305     0                        -1.129223449988596E-4    -12.203103058978627
0.0010976659247641945     0.0034878880071008496    0.02895604536011091      -12.356798147340823
0                         0.00417882562360497      -4.8682132366195674E-5   -12.401932163216884
0.0011436001252934382     0.0048653295890454355    0.042278170198741215     -12.443760020332391
0                         0.005571767498139962     2.418685902227935E-5     -12.505253528375661
0.0049246938799058365     0.0011266971694447838    0.04176269413822631      -12.187735017240177
0.005599999999999539      0                        -4.858041620359188E-5    -12.15148776479833
0.0011387877795250728     0.006264678175046776     0.054456836982198574     -12.562378061536322
0                         0.006964709372674952     1.2040585624835861E-5    -12.638546603047773
0.00630294193155364       0.0011260882571182697    0.05329297437219319      -12.129521699283657
0.006999999999999548      0                        -2.3636099786135862E-5   -12.08528677762657
0.0011292472621791602     0.0076598554129027625    0.06633239725209232      -12.711016940773328
0                         0.008357651247209942     -2.7018984383175848E-8   -12.802232419022987
0.007698890301258184      0.0011305827186114611    0.06512991117302007      -12.056285644692073
0.008399999999999557      0                        -2.0129191662239993E-5   -12.00464813891548
0.0011280934311443864     0.009051148930292272     0.07872619036781951      -12.889732244240307
0                         0.009750593121744934     -3.8097270712948252E-6   -12.996779671401342
0.009099845666813397      0.0011323424326938       0.07677646136455547      -11.9683902090497
0.009799999999999566      0                        -2.0194158587116817E-5   -11.909755843918878
0.01050055199787125       0.0011323711472302968    0.08815691117118411      -11.866298749625882
0.011199999999999577      0                        -1.9155596965821548E-5   -11.800809985546424
0.0011294098530687127     0.010445381557514103     0.09155521671431426      -13.099930223152027
0                         0.011143534996279925     -9.06748131749661E-6     -13.222736409691498
0.001130341674854723      0.011839267388506424     0.10463860575856287      -13.341832266441747
0                         0.012536476870814916     -1.3138244073710817E-5   -13.480746339891349
0.011900465800159937      0.0011322172573712452    0.09933213425175769      -11.750302707693661
0.012599999999999585      0                        -1.7391787726121304E-5   -11.67803573270453
0.0011310504824490468     0.013232695161712453     0.11801772604477871      -13.616078980147712
0                         0.013929418745349907     -1.573478947136664E-5    -13.771550842972635
0.013300106005743282      0.0011326879552246837    0.11035612152074877      -11.62062767303775
0.013999999999999594      0                        -1.6201835642585632E-5   -11.541688041227204
0.0011313949261968729     0.01462582865009403      0.1317102883438229       -13.923467789574651
0                         0.015322360619884897     -1.7731966157915242E-5   -14.095990651873336
0.014700010423450519      0.0011333486991924894    0.12118262458670426      -11.477487738151643
0.015399999999999603      0                        -1.5793692764276557E-5   -11.392050739828514
0.016099971202771127      0.0011335076053707654    0.13171361461102085      -11.321185461818624
0.016799999999999614      0                        -1.538534135055632E-5    -11.229432894579304
0.001131481275001894      0.01601882260847029      0.14575993458154338      -14.264907812089016
0                         0.01671530249441989      -1.9703475606055083E-5   -14.455009965506605
0.017499999999999623      0.001133627253553831     0.14197299331384508      -11.152046715111688
0.018199999999999623      0                        -1.5136818619273148E-5   -11.05416715223064
0.018899996699988233      0.00113362396063725      0.1519287947028065       -10.970427068369894
0.01959999999999963       0                        -1.4891717184421319E-5   -10.866610231210359
0.0011314878729693013     0.017411773431687386     0.1602268330055665       -14.641411023165324
0                         0.01810824436895488      -2.1777061576244705E-5   -14.849660809646386
0.020299998562944944      0.0011336260795086403    0.16157823415464959      -10.776692424342848
0.02099999999999964       0                        -1.4711718326528475E-5   -10.667140904227665
0.021699999538526093      0.0011336269467508789    0.17090350019395176      -10.571233564871541
0.02239999999999965       0                        -1.4576138170833511E-5   -10.45615910907568
0.0011314878729693013     0.018804715306222377     0.1751655695406195       -15.054090929336473
0                         0.019501186243489867     -2.3957230970002758E-5   -15.281108246867698
